job_id,job_date,client_id,zip_code,crew_id,job_status,total_price,material_cost,labor_cost,travel_cost,profit,payment_status,payment_delay_days,num_services
1000,2023-01-02,1001,32812,1,Completed,800,80.0,179.93,22.02,518.05,Paid,0,1
1001,2023-01-02,1002,32836,1,Completed,550,55.0,195.49,26.65,272.86,Paid,0,1
1002,2023-01-02,1001,32812,2,Completed,350,38.21,95.64,20.5,195.65,Paid,0,1
1003,2023-01-02,1003,32714,3,Completed,700,70.0,141.78,12.79,475.43,Paid,0,1
1004,2023-01-02,1004,32829,3,Completed,450,13.5,118.41,25.7,292.39,Paid,0,1
1005,2023-01-03,1001,32812,3,Completed,300,44.23,194.84,26.17,34.76,Paid,0,1
1006,2023-01-03,1005,34743,1,Completed,4000,1300.0,171.18,40.63,2488.19,Unpaid,2,2
1007,2023-01-03,1001,32812,1,Completed,700,97.36,294.28,49.72,258.64,Paid,0,2
1008,2023-01-03,1006,32819,4,Completed,3500,1400.0,245.06,28.28,1826.66,Paid,0,2
1009,2023-01-04,1007,32829,1,Completed,3500,350.0,297.02,64.43,2788.55,Paid,0,3
1010,2023-01-04,1008,32714,1,Completed,950,95.0,103.77,12.32,738.91,Paid,0,1
1011,2023-01-04,1004,32829,3,Completed,3050,1025.0,198.41,35.86,1790.73,Paid,0,2
1012,2023-01-04,1009,32750,3,Completed,4200,1680.0,409.02,54.07,2056.91,Paid,0,3
1013,2023-01-04,1010,32801,2,Completed,350,36.89,54.71,22.73,235.67,Paid,0,1
1014,2023-01-05,1007,32829,4,Completed,500,15.0,74.18,28.59,382.23,Paid,0,1
1015,2023-01-05,1011,32751,1,Completed,1900,683.39,311.62,52.22,852.77,Paid,0,2
1016,2023-01-05,1003,32714,4,Completed,450,47.48,84.19,18.54,299.79,Paid,0,1
1017,2023-01-05,1012,32765,2,Completed,1700,180.9,246.84,61.02,1211.24,Paid,0,3
1018,2023-01-05,1013,34747,1,Completed,2300,532.0,430.93,50.79,1286.28,Paid,0,3
1019,2023-01-05,1014,32808,1,Completed,500,72.71,85.93,12.9,328.46,Paid,0,1
1020,2023-01-06,1015,32805,2,Completed,1500,129.0,228.49,25.54,1116.97,Paid,0,2
1021,2023-01-06,1016,32837,2,Completed,4700,1880.0,235.6,33.23,2551.17,Paid,0,2
1022,2023-01-06,1008,32714,1,Completed,750,85.4,379.21,40.3,245.09,Paid,0,2
1023,2023-01-06,1017,32804,1,Completed,1250,93.5,258.86,32.96,864.68,Paid,0,2
1024,2023-01-06,1018,32766,2,Completed,1350,169.94,358.15,70.55,751.36,Paid,0,3
1025,2023-01-06,1004,32829,4,Completed,2400,960.0,65.22,23.27,1351.51,Paid,0,1
1026,2023-01-06,1004,32829,1,Completed,1100,440.0,132.31,23.84,503.85,Paid,0,1
1027,2023-01-07,1018,32766,4,Completed,4850,1385.0,449.75,54.53,2960.72,Paid,0,3
1028,2023-01-07,1018,32766,1,Completed,350,10.5,146.77,23.38,169.35,Paid Late,2,1
1029,2023-01-07,1019,34787,4,Completed,900,360.0,124.88,21.44,393.68,Paid,0,1
1030,2023-01-07,1020,34787,4,Completed,350,52.4,120.49,15.59,161.52,Paid,0,1
1031,2023-01-07,1021,32792,3,Completed,2050,215.75,284.48,57.27,1492.5,Unpaid,9,3
1032,2023-01-09,1022,32809,1,Completed,4200,1260.0,202.18,42.05,2695.77,Paid,0,2
1033,2023-01-09,1017,32804,1,Completed,1000,113.76,156.72,28.5,701.02,Paid Late,16,2
1034,2023-01-09,1019,34787,2,Completed,550,55.0,60.64,17.94,416.42,Paid,0,1
1035,2023-01-09,1023,32817,3,Completed,950,95.0,106.34,11.88,736.78,Paid Late,19,1
1036,2023-01-10,1005,34743,3,Completed,850,67.5,158.61,23.29,600.6,Paid,0,2
1037,2023-01-10,1024,32804,3,Completed,1300,430.78,212.07,43.27,613.88,Paid,0,2
1038,2023-01-10,1018,32766,3,Completed,3450,1213.5,365.66,35.75,1835.09,Paid,0,2
1039,2023-01-11,1025,32803,1,Completed,1050,110.4,122.81,41.96,774.83,Paid Late,9,2
1040,2023-01-12,1010,32801,2,Completed,2450,725.0,137.57,24.28,1563.15,Paid,0,2
1041,2023-01-12,1014,32808,3,Completed,3000,680.17,235.46,58.61,2025.76,Paid,0,3
1042,2023-01-12,1026,32807,1,Completed,300,9.0,52.3,28.67,210.03,Paid,0,1
1043,2023-01-12,1012,32765,2,Completed,1500,173.61,332.67,45.05,948.67,Paid,0,2
1044,2023-01-12,1027,32789,2,Completed,1050,136.42,242.34,49.25,621.99,Paid,0,2
1045,2023-01-13,1028,32817,2,Completed,1200,85.0,114.17,42.67,958.16,Paid Late,18,2
1046,2023-01-13,1029,32708,1,Completed,500,15.0,154.51,22.58,307.91,Paid,0,1
1047,2023-01-13,1030,32822,2,Completed,1100,388.03,263.34,43.36,405.27,Paid,0,2
1048,2023-01-14,1027,32789,4,Completed,1550,170.37,380.25,55.62,943.76,Paid,0,3
1049,2023-01-14,1003,32714,3,Completed,3800,1520.0,244.08,42.42,1993.5,Paid,0,2
1050,2023-01-14,1031,32827,3,Completed,1600,132.0,227.07,32.81,1208.12,Paid,0,2
1051,2023-01-14,1032,32828,3,Completed,2800,686.0,329.49,58.72,1725.79,Paid,0,3
1052,2023-01-14,1033,32751,4,Completed,2850,236.0,525.86,58.06,2030.08,Paid,0,3
1053,2023-01-14,1034,32811,1,Completed,2250,750.36,220.07,39.8,1239.77,Paid,0,2
1054,2023-01-14,1035,32771,4,Completed,2000,800.0,51.7,19.37,1128.93,Paid,0,1
